INSERT into coach values(650, 66, 'f3', '3A');
INSERT into coach values(714, 46, 'f3', '3B');
INSERT into coach values(560, 61, 'f2', '1B');
INSERT into coach values(364, 56, 'f4', '2C');
INSERT into coach values(190, 68, 'f4', '1C');
INSERT into coach values(568, 80, 'f2', '3A');
INSERT into coach values(492, 87, 'f4', '1A');
INSERT into coach values(465, 41, 'f2', '2B');
INSERT into coach values(722, 76, 'f2', '2B');
INSERT into coach values(153, 56, 'f4', '1A');
INSERT into coach values(539, 80, 'f1', '3A');
INSERT into coach values(167, 82, 'f1', '1A');
INSERT into coach values(478, 62, 'f3', '1B');
INSERT into coach values(326, 82, 'f3', '1A');
INSERT into coach values(483, 44, 'f4', '3B');
INSERT into coach values(742, 83, 'f3', '2A');
INSERT into coach values(162, 57, 'f3', '2B');
INSERT into coach values(781, 87, 'f3', '3A');
INSERT into coach values(197, 54, 'f1', '1A');
INSERT into coach values(268, 82, 'f2', '3A');
INSERT into coach values(845, 53, 'f2', '1C');
INSERT into coach values(897, 86, 'f3', '1B');
INSERT into coach values(789, 53, 'f4', '2C');
INSERT into coach values(585, 65, 'f3', '2B');
INSERT into coach values(453, 83, 'f1', '1A');
INSERT into coach values(197, 73, 'f2', '2B');
INSERT into coach values(935, 41, 'f3', '1B');
INSERT into coach values(335, 87, 'f2', '1A');
INSERT into coach values(524, 77, 'f2', '1A');
INSERT into coach values(859, 52, 'f2', '2C');
INSERT into coach values(130, 83, 'f1', '2A');
INSERT into coach values(582, 82, 'f3', '1C');
INSERT into coach values(386, 71, 'f3', '2C');
INSERT into coach values(840, 41, 'f1', '1A');
INSERT into coach values(406, 89, 'f4', '2B');
INSERT into coach values(715, 61, 'f1', '3A');
INSERT into coach values(897, 89, 'f2', '1A');
INSERT into coach values(327, 55, 'f1', '2A');
INSERT into coach values(573, 42, 'f2', '2C');
INSERT into coach values(833, 52, 'f2', '2A');
INSERT into coach values(388, 67, 'f2', '3A');
INSERT into coach values(790, 87, 'f1', '3A');
INSERT into coach values(105, 68, 'f4', '2B');
INSERT into coach values(609, 81, 'f1', '3B');
INSERT into coach values(423, 79, 'f3', '3B');
INSERT into coach values(722, 67, 'f3', '3B');
INSERT into coach values(532, 71, 'f3', '3B');
INSERT into coach values(914, 75, 'f3', '3A');
INSERT into coach values(147, 61, 'f1', '1B');
INSERT into coach values(641, 41, 'f2', '3B');
INSERT into coach values(203, 81, 'f4', '2B');
INSERT into coach values(766, 54, 'f2', '1B');
INSERT into coach values(386, 40, 'f1', '1C');
INSERT into coach values(990, 74, 'f4', '3A');
INSERT into coach values(167, 85, 'f1', '1A');
INSERT into coach values(242, 69, 'f4', '2B');
INSERT into coach values(863, 55, 'f4', '3B');
INSERT into coach values(831, 74, 'f4', '2B');
INSERT into coach values(350, 42, 'f1', '3A');
INSERT into coach values(626, 40, 'f2', '3A');
INSERT into coach values(144, 70, 'f4', '1A');
INSERT into coach values(331, 51, 'f1', '1B');
INSERT into coach values(553, 54, 'f4', '1A');
INSERT into coach values(591, 60, 'f2', '2C');
INSERT into coach values(641, 64, 'f1', '2C');
INSERT into coach values(227, 41, 'f3', '3B');
INSERT into coach values(239, 41, 'f4', '2A');
INSERT into coach values(293, 76, 'f1', '1B');
INSERT into coach values(669, 58, 'f3', '1A');
INSERT into coach values(146, 77, 'f4', '1C');
INSERT into coach values(732, 43, 'f3', '3C');
INSERT into coach values(212, 68, 'f4', '3A');
INSERT into coach values(374, 45, 'f2', '3C');
INSERT into coach values(704, 71, 'f1', '1C');
INSERT into coach values(596, 40, 'f1', '2B');
INSERT into coach values(280, 50, 'f2', '3B');
INSERT into coach values(428, 58, 'f3', '2B');
INSERT into coach values(159, 62, 'f2', '2B');
INSERT into coach values(179, 81, 'f2', '3C');
INSERT into coach values(383, 42, 'f1', '2A');
INSERT into coach values(385, 51, 'f1', '1C');
INSERT into coach values(794, 67, 'f2', '3A');
INSERT into coach values(746, 52, 'f2', '3B');
INSERT into coach values(136, 45, 'f3', '3C');
INSERT into coach values(203, 41, 'f3', '3A');
INSERT into coach values(639, 76, 'f3', '1B');
INSERT into coach values(902, 57, 'f3', '2C');
INSERT into coach values(369, 51, 'f2', '1B');
INSERT into coach values(797, 60, 'f2', '2C');
INSERT into coach values(501, 78, 'f4', '1B');
INSERT into coach values(978, 86, 'f1', '3B');
INSERT into coach values(487, 59, 'f1', '1B');
INSERT into coach values(836, 77, 'f4', '2B');
INSERT into coach values(866, 47, 'f1', '3A');
INSERT into coach values(738, 66, 'f3', '1C');
INSERT into coach values(189, 62, 'f2', '3C');
INSERT into coach values(400, 57, 'f4', '1A');
INSERT into coach values(665, 48, 'f3', '3B');
INSERT into coach values(976, 52, 'f4', '3A');
INSERT into coach values(150, 71, 'f1', '1C');
INSERT into coach values(549, 88, 'f4', '3C');
INSERT into coach values(821, 47, 'f3', '3A');
INSERT into coach values(548, 55, 'f3', '3A');
INSERT into coach values(988, 44, 'f3', '2A');
INSERT into coach values(898, 58, 'f3', '3C');
INSERT into coach values(768, 54, 'f2', '1A');
INSERT into coach values(709, 80, 'f4', '3A');
INSERT into coach values(779, 60, 'f4', '2C');
INSERT into coach values(794, 71, 'f2', '1C');
INSERT into coach values(447, 62, 'f2', '3B');
INSERT into coach values(435, 46, 'f2', '1A');
INSERT into coach values(873, 56, 'f3', '2C');
INSERT into coach values(420, 84, 'f3', '2A');
INSERT into coach values(869, 59, 'f2', '1B');
INSERT into coach values(287, 77, 'f2', '2A');
INSERT into coach values(370, 67, 'f1', '3A');
INSERT into coach values(467, 64, 'f2', '3C');
INSERT into coach values(428, 70, 'f2', '1B');
INSERT into coach values(980, 63, 'f2', '3C');
INSERT into coach values(380, 86, 'f1', '3C');
INSERT into coach values(410, 47, 'f3', '3A');
INSERT into coach values(742, 62, 'f2', '2C');
INSERT into coach values(669, 50, 'f4', '1A');
INSERT into coach values(733, 51, 'f2', '3B');
INSERT into coach values(810, 52, 'f2', '2B');
INSERT into coach values(920, 85, 'f4', '1A');
INSERT into coach values(526, 47, 'f3', '3C');
INSERT into coach values(619, 61, 'f1', '3C');
INSERT into coach values(514, 46, 'f1', '2B');
INSERT into coach values(612, 72, 'f4', '3A');
INSERT into coach values(697, 80, 'f3', '1A');
INSERT into coach values(914, 46, 'f4', '3A');
INSERT into coach values(742, 83, 'f4', '2B');
INSERT into coach values(320, 89, 'f1', '2C');
INSERT into coach values(778, 83, 'f1', '3B');
INSERT into coach values(301, 58, 'f4', '3A');
INSERT into coach values(152, 43, 'f4', '2C');
INSERT into coach values(866, 72, 'f4', '1B');
INSERT into coach values(800, 57, 'f1', '3A');
INSERT into coach values(160, 63, 'f4', '1C');
INSERT into coach values(927, 47, 'f3', '2A');
INSERT into coach values(118, 83, 'f3', '3A');
INSERT into coach values(574, 74, 'f3', '3C');
INSERT into coach values(610, 53, 'f2', '2B');
INSERT into coach values(493, 40, 'f4', '2A');
INSERT into coach values(389, 76, 'f2', '3A');
INSERT into coach values(610, 73, 'f3', '1A');
INSERT into coach values(851, 40, 'f4', '3B');
INSERT into coach values(111, 78, 'f1', '2B');
INSERT into coach values(905, 79, 'f1', '2B');
INSERT into coach values(930, 40, 'f3', '3B');
INSERT into coach values(446, 63, 'f3', '3A');
INSERT into coach values(143, 67, 'f3', '3A');
INSERT into coach values(120, 62, 'f4', '1C');
INSERT into coach values(395, 50, 'f2', '2C');
INSERT into coach values(466, 89, 'f4', '2A');
INSERT into coach values(371, 70, 'f4', '2A');
INSERT into coach values(568, 44, 'f1', '3C');
INSERT into coach values(373, 69, 'f4', '1B');
INSERT into coach values(232, 50, 'f2', '1A');
INSERT into coach values(568, 50, 'f2', '2B');
INSERT into coach values(420, 62, 'f3', '1B');
INSERT into coach values(394, 57, 'f3', '1B');
INSERT into coach values(923, 73, 'f2', '3A');
INSERT into coach values(294, 61, 'f1', '3A');
INSERT into coach values(171, 81, 'f3', '3C');
INSERT into coach values(276, 80, 'f4', '2B');
INSERT into coach values(140, 79, 'f4', '3B');
INSERT into coach values(445, 46, 'f2', '3C');
INSERT into coach values(827, 83, 'f3', '1B');
INSERT into coach values(600, 80, 'f2', '2C');
INSERT into coach values(556, 88, 'f3', '3C');
INSERT into coach values(670, 45, 'f3', '3A');
INSERT into coach values(890, 67, 'f2', '1A');
INSERT into coach values(206, 51, 'f1', '1A');
INSERT into coach values(326, 65, 'f2', '3C');
INSERT into coach values(307, 63, 'f2', '3C');
INSERT into coach values(536, 48, 'f4', '3B');
INSERT into coach values(419, 61, 'f1', '2C');
INSERT into coach values(912, 47, 'f2', '3A');
INSERT into coach values(832, 76, 'f3', '3C');
INSERT into coach values(449, 52, 'f4', '1C');
INSERT into coach values(875, 51, 'f3', '3A');
INSERT into coach values(291, 84, 'f2', '3A');
INSERT into coach values(272, 44, 'f4', '2A');
INSERT into coach values(721, 87, 'f3', '3C');
INSERT into coach values(450, 45, 'f4', '1B');
INSERT into coach values(194, 69, 'f4', '1A');
INSERT into coach values(757, 86, 'f3', '3B');
INSERT into coach values(748, 59, 'f3', '3A');
INSERT into coach values(375, 90, 'f4', '1B');
INSERT into coach values(883, 73, 'f1', '1B');
INSERT into coach values(317, 70, 'f2', '1A');
INSERT into coach values(926, 76, 'f3', '2A');
INSERT into coach values(518, 63, 'f4', '3C');
INSERT into coach values(358, 53, 'f2', '2A');
INSERT into coach values(452, 44, 'f1', '3B');
INSERT into coach values(308, 87, 'f1', '2C');
INSERT into coach values(435, 62, 'f3', '2A');
INSERT into coach values(245, 75, 'f4', '1A');
INSERT into coach values(389, 52, 'f1', '3A');
INSERT into coach values(863, 61, 'f4', '3A');
INSERT into coach values(882, 81, 'f4', '1A');
INSERT into coach values(914, 76, 'f1', '1B');
INSERT into coach values(308, 42, 'f4', '1C');
INSERT into coach values(289, 84, 'f3', '3A');
INSERT into coach values(747, 58, 'f4', '3A');
INSERT into coach values(318, 45, 'f4', '2A');
INSERT into coach values(176, 47, 'f1', '1C');
INSERT into coach values(434, 41, 'f4', '1B');
INSERT into coach values(767, 57, 'f3', '2B');
INSERT into coach values(148, 67, 'f2', '2A');
INSERT into coach values(629, 52, 'f3', '2A');
INSERT into coach values(417, 59, 'f3', '3A');
INSERT into coach values(977, 75, 'f4', '1B');
INSERT into coach values(835, 80, 'f4', '3B');
INSERT into coach values(656, 49, 'f1', '2A');
INSERT into coach values(727, 84, 'f4', '1A');
INSERT into coach values(191, 59, 'f2', '2C');
INSERT into coach values(702, 52, 'f4', '2B');
INSERT into coach values(862, 55, 'f3', '2B');
INSERT into coach values(853, 42, 'f2', '1C');
INSERT into coach values(202, 77, 'f4', '3A');
INSERT into coach values(496, 64, 'f2', '3A');
INSERT into coach values(386, 78, 'f1', '1C');
INSERT into coach values(583, 70, 'f1', '3A');
INSERT into coach values(843, 40, 'f1', '3B');
INSERT into coach values(708, 86, 'f4', '1C');
INSERT into coach values(541, 80, 'f2', '3C');
INSERT into coach values(934, 53, 'f3', '3A');
INSERT into coach values(581, 83, 'f3', '1B');
INSERT into coach values(220, 71, 'f3', '3C');
INSERT into coach values(956, 57, 'f4', '2C');
INSERT into coach values(872, 67, 'f4', '3B');
INSERT into coach values(503, 75, 'f4', '2C');
INSERT into coach values(880, 41, 'f4', '2C');
INSERT into coach values(540, 48, 'f3', '3A');
INSERT into coach values(791, 83, 'f3', '3C');
INSERT into coach values(291, 65, 'f1', '2B');
INSERT into coach values(883, 85, 'f1', '3B');
INSERT into coach values(479, 75, 'f1', '2B');
INSERT into coach values(559, 52, 'f3', '1C');
INSERT into coach values(505, 87, 'f1', '3B');
INSERT into coach values(888, 42, 'f2', '1A');
INSERT into coach values(622, 78, 'f3', '3A');
INSERT into coach values(945, 65, 'f1', '3A');
INSERT into coach values(252, 85, 'f1', '1A');
INSERT into coach values(164, 54, 'f2', '3B');
INSERT into coach values(992, 82, 'f4', '3B');
INSERT into coach values(531, 65, 'f2', '3C');
INSERT into coach values(874, 54, 'f3', '3B');
INSERT into coach values(168, 57, 'f3', '2C');
INSERT into coach values(604, 78, 'f1', '2B');
INSERT into coach values(239, 84, 'f4', '1A');
INSERT into coach values(326, 60, 'f4', '1A');
INSERT into coach values(522, 44, 'f1', '2A');
INSERT into coach values(441, 43, 'f2', '2A');
INSERT into coach values(774, 73, 'f1', '1B');
INSERT into coach values(486, 76, 'f2', '1B');
INSERT into coach values(521, 63, 'f3', '3B');
INSERT into coach values(185, 51, 'f1', '2B');
INSERT into coach values(508, 50, 'f3', '2A');
INSERT into coach values(379, 76, 'f2', '1C');
INSERT into coach values(309, 66, 'f2', '1A');
INSERT into coach values(769, 60, 'f1', '3A');
INSERT into coach values(298, 65, 'f3', '2C');
INSERT into coach values(187, 43, 'f3', '1C');
INSERT into coach values(301, 87, 'f3', '3B');
INSERT into coach values(982, 81, 'f3', '2A');
INSERT into coach values(125, 50, 'f2', '3B');
INSERT into coach values(867, 74, 'f1', '2A');
INSERT into coach values(975, 63, 'f1', '1A');
INSERT into coach values(933, 40, 'f2', '1B');
INSERT into coach values(510, 88, 'f2', '2A');
INSERT into coach values(713, 76, 'f3', '3B');
INSERT into coach values(108, 87, 'f4', '2B');
INSERT into coach values(342, 67, 'f1', '3B');
INSERT into coach values(628, 85, 'f2', '2C');
INSERT into coach values(231, 75, 'f2', '2B');
INSERT into coach values(360, 89, 'f3', '2C');
INSERT into coach values(935, 45, 'f4', '1B');
INSERT into coach values(332, 60, 'f3', '1C');
INSERT into coach values(963, 79, 'f4', '3B');
INSERT into coach values(441, 44, 'f3', '2A');
INSERT into coach values(847, 84, 'f2', '1C');
INSERT into coach values(266, 61, 'f2', '3B');
INSERT into coach values(844, 60, 'f1', '1B');
INSERT into coach values(625, 54, 'f4', '1C');
INSERT into coach values(420, 89, 'f2', '3A');
INSERT into coach values(926, 84, 'f3', '1A');
INSERT into coach values(964, 49, 'f1', '2C');
INSERT into coach values(433, 79, 'f2', '2A');
INSERT into coach values(440, 51, 'f2', '3B');
INSERT into coach values(842, 46, 'f2', '3C');
INSERT into coach values(368, 75, 'f1', '3B');
INSERT into coach values(628, 48, 'f1', '3A');
INSERT into coach values(906, 55, 'f2', '1B');
INSERT into coach values(464, 66, 'f3', '2B');
INSERT into coach values(488, 45, 'f3', '2B');
INSERT into coach values(703, 50, 'f3', '2A');
INSERT into coach values(820, 69, 'f4', '1B');
INSERT into coach values(134, 42, 'f4', '3A');
INSERT into coach values(301, 71, 'f1', '3C');
INSERT into coach values(469, 54, 'f3', '1C');
INSERT into coach values(840, 67, 'f3', '3B');
INSERT into coach values(912, 41, 'f3', '2C');
INSERT into coach values(340, 72, 'f1', '3B');
INSERT into coach values(935, 80, 'f2', '1B');
INSERT into coach values(322, 76, 'f2', '2A');
INSERT into coach values(371, 89, 'f3', '3B');
INSERT into coach values(131, 75, 'f3', '2C');
INSERT into coach values(902, 64, 'f4', '3A');
INSERT into coach values(977, 64, 'f3', '1C');
INSERT into coach values(350, 74, 'f1', '2C');
INSERT into coach values(834, 90, 'f1', '2A');
INSERT into coach values(414, 50, 'f2', '2C');
INSERT into coach values(408, 53, 'f4', '2C');
INSERT into coach values(821, 55, 'f3', '1B');
INSERT into coach values(803, 70, 'f3', '3B');
INSERT into coach values(677, 54, 'f1', '2C');
INSERT into coach values(437, 64, 'f3', '1B');
INSERT into coach values(285, 80, 'f4', '2B');
INSERT into coach values(712, 64, 'f3', '1A');
INSERT into coach values(235, 64, 'f2', '3A');
INSERT into coach values(267, 87, 'f1', '3B');
INSERT into coach values(510, 80, 'f2', '2B');
INSERT into coach values(107, 53, 'f3', '2A');
INSERT into coach values(631, 78, 'f3', '3A');
INSERT into coach values(562, 43, 'f1', '3B');
INSERT into coach values(211, 82, 'f1', '2B');
INSERT into coach values(200, 61, 'f2', '2B');
INSERT into coach values(989, 53, 'f3', '3B');
INSERT into coach values(242, 80, 'f2', '3A');
INSERT into coach values(578, 48, 'f4', '3A');
INSERT into coach values(216, 82, 'f3', '3C');
INSERT into coach values(678, 66, 'f4', '3C');
INSERT into coach values(756, 89, 'f2', '1A');
INSERT into coach values(475, 75, 'f3', '1C');
INSERT into coach values(578, 59, 'f3', '1A');
INSERT into coach values(406, 67, 'f4', '3A');
INSERT into coach values(324, 81, 'f3', '2A');
INSERT into coach values(914, 47, 'f2', '3A');
INSERT into coach values(110, 52, 'f2', '2C');
INSERT into coach values(734, 90, 'f2', '1A');
INSERT into coach values(730, 51, 'f2', '1C');
INSERT into coach values(865, 80, 'f1', '1C');
INSERT into coach values(269, 66, 'f1', '1A');
INSERT into coach values(320, 65, 'f1', '1A');
INSERT into coach values(356, 64, 'f4', '1C');
INSERT into coach values(714, 42, 'f3', '2B');
INSERT into coach values(744, 56, 'f4', '1A');
INSERT into coach values(516, 44, 'f3', '2A');
INSERT into coach values(225, 66, 'f1', '1A');
INSERT into coach values(604, 86, 'f3', '1C');
INSERT into coach values(856, 83, 'f4', '1A');
INSERT into coach values(871, 53, 'f4', '1C');
INSERT into coach values(667, 86, 'f1', '3C');
INSERT into coach values(633, 78, 'f2', '3C');
INSERT into coach values(680, 76, 'f3', '2A');
INSERT into coach values(854, 67, 'f3', '2A');
INSERT into coach values(694, 52, 'f2', '1C');
INSERT into coach values(153, 90, 'f2', '3C');
INSERT into coach values(384, 66, 'f3', '2C');
INSERT into coach values(594, 46, 'f2', '2C');
INSERT into coach values(980, 57, 'f3', '3C');
INSERT into coach values(322, 54, 'f1', '3B');
INSERT into coach values(451, 69, 'f3', '2A');
INSERT into coach values(627, 82, 'f4', '2A');
INSERT into coach values(159, 69, 'f2', '2B');
INSERT into coach values(977, 77, 'f4', '3C');
INSERT into coach values(444, 40, 'f4', '1B');
INSERT into coach values(827, 80, 'f2', '3B');
INSERT into coach values(411, 43, 'f1', '1B');
INSERT into coach values(279, 45, 'f3', '3B');
INSERT into coach values(433, 86, 'f1', '3C');
INSERT into coach values(593, 77, 'f2', '2C');
INSERT into coach values(766, 74, 'f2', '2A');
INSERT into coach values(758, 53, 'f1', '1A');
INSERT into coach values(226, 85, 'f2', '3B');
INSERT into coach values(622, 73, 'f4', '2B');
INSERT into coach values(282, 85, 'f3', '1C');
INSERT into coach values(503, 55, 'f3', '1A');
INSERT into coach values(937, 63, 'f3', '3B');
INSERT into coach values(618, 86, 'f3', '3A');
INSERT into coach values(111, 63, 'f3', '1A');
INSERT into coach values(582, 65, 'f3', '1A');
INSERT into coach values(769, 69, 'f2', '1A');
INSERT into coach values(109, 72, 'f3', '3B');
INSERT into coach values(256, 79, 'f4', '2B');
INSERT into coach values(118, 82, 'f4', '3A');
INSERT into coach values(446, 44, 'f3', '1C');
INSERT into coach values(277, 41, 'f1', '1B');
INSERT into coach values(448, 57, 'f4', '3A');
INSERT into coach values(410, 68, 'f4', '1B');
INSERT into coach values(241, 70, 'f1', '1B');
INSERT into coach values(820, 40, 'f2', '1A');
INSERT into coach values(850, 90, 'f2', '3C');
INSERT into coach values(232, 72, 'f4', '1C');
INSERT into coach values(494, 41, 'f4', '3C');
INSERT into coach values(878, 81, 'f1', '2B');
INSERT into coach values(867, 78, 'f1', '1C');
INSERT into coach values(607, 65, 'f2', '3B');
INSERT into coach values(240, 85, 'f4', '2B');
INSERT into coach values(234, 43, 'f3', '1B');
INSERT into coach values(200, 62, 'f3', '1C');
INSERT into coach values(436, 48, 'f2', '3C');
INSERT into coach values(908, 76, 'f1', '3B');
INSERT into coach values(324, 64, 'f4', '3C');
INSERT into coach values(948, 64, 'f1', '2B');
INSERT into coach values(426, 75, 'f3', '1B');
INSERT into coach values(534, 48, 'f4', '2C');
INSERT into coach values(657, 52, 'f1', '2C');
INSERT into coach values(216, 51, 'f1', '3A');
INSERT into coach values(599, 73, 'f2', '3A');
INSERT into coach values(147, 60, 'f1', '2B');
INSERT into coach values(671, 72, 'f2', '1B');
INSERT into coach values(793, 43, 'f1', '1A');
INSERT into coach values(486, 88, 'f3', '2A');
INSERT into coach values(893, 79, 'f1', '1B');
